time,pos_out[1],pos_out[2],pos_out[3],RPY_out[1],RPY_out[2],RPY_out[3],f_in[1],f_in[2],f_in[3],t_in[1],t_in[2],t_in[3],
1.2000048000192001e-06,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.6400174722136615e-06,4.60802826306979e-12,0.0,0.1,-0.0,-0.0,-0.0,-350333.32128921273,-564453.7298853672,-1511.6654032735255,-2.9982659142179205e-05,-229059.5198440456,-197.40431306532506,
4.3680426326223126e-06,-5.643973170633675e-10,0.0,0.1,-0.0,-0.0,-0.0,524711.3735154951,843632.2720843871,-3539.029766554101,84363.22722084555,295334.4507307484,370.76253284296627,
6.441651324685589e-06,1.579757351481886e-11,-7.16600454499844e-18,0.1,-0.0,-0.0,-1.2351030078629679e-08,-192401.92446709276,-307439.4069516405,-1706.6477657144937,-30743.940695212714,-111463.5025460726,-195.93460607891646,
8.92998175516152e-06,6.395531050302722e-11,-7.194305649298135e-18,0.1,-0.0,-0.0,-5.876751290581988e-10,5799.186849406297,-1887.8494893156437,-2409.2166843714244,-188.78489581201393,3720.584075989004,123735.50089017738,
1.1915948548790236e-05,1.7028280552474135e-10,-7.23949200164865e-18,0.1,-0.0,-0.0,-4.2497335558678144e-10,-10262.557449629016,-440.04310448140865,-2190.3094858180048,-44.00431435969593,-5649.697302006567,-180615.9636245528,
1.5499108701144696e-05,2.5320653913093255e-10,-6.5986157342291376e-18,0.1,-0.0,-0.0,7.728502318323749e-09,3423.526490678665,-153.64720548068314,-2338.390773886044,-15.364719545920503,2004.4088880819643,63127.248025588706,
1.9798962521782843e-05,4.2896577372116297e-10,-6.513478805654084e-18,0.1,-0.0,-0.0,4.843951942186385e-10,-227.8544292294296,-100.85654532631516,-2270.851577019932,-10.085653617588392,-95.44558557436702,-26431.02357632845,
2.49586983445355e-05,6.956656789295149e-10,-6.4281121119080076e-18,0.1,-0.0,-0.0,3.2008520467746555e-10,107.31917373425276,-0.9038432204533563,-2316.9147428644287,-0.09038435683027156,68.14777355420486,38802.63578502771,
3.115025351278071e-05,1.1031754812049563e-09,-8.486620644800506e-18,0.1,-0.0,-0.0,-5.051433171418841e-09,-148.70604863799673,-41.41348380453955,-2282.8756283082676,-4.141348347286507,-80.83526139734815,-12827.112089585655,
3.858011971467497e-05,1.7102990344347773e-09,-8.851304488647192e-18,0.1,-0.0,-0.0,-6.006748410708397e-10,-81.10514703698946,5.37970425881328,-2299.6185387503338,0.5379701999960139,-37.0579007304996,5804.992303835112,
